#Name	Orbits	Mass(kg)	Diam(m)	Perihelion(m)	Aphelion(m)	orbPeriod(days)	rotationalPeriod(hours)	axialtilt(deg)	orbinclin(deg)
Body243	Sun	7.1960e+27	1.444125e+08	2.336306e+12	3.394288e+12	30621.71	505.51	79.43	29.31
Body244	Sun	9.8003e+27	1.646264e+08	1.267719e+12	1.375805e+12	9594.11	75.80	3.08	9.40
Body245	Sun	9.8275e+27	1.557183e+08	3.770165e+12	5.506194e+12	63066.14	334.52	69.94	15.09
Body246	Sun	7.8152e+27	1.753620e+08	3.931984e+12	4.716906e+12	56776.74	378.79	69.59	29.10
Body247	Sun	9.6740e+27	2.625799e+08	3.735454e+12	5.487420e+12	62521.49	693.33	58.44	21.54
Body248	Sun	4.8477e+26	8.557534e+07	5.797044e+11	7.534581e+11	3436.01	166.80	67.34	0.84
Body249	Sun	3.7256e+27	1.181094e+08	4.188375e+12	4.437485e+12	56550.12	987.34	72.32	2.73
Body250	Sun	4.9775e+27	1.634612e+08	2.111520e+12	2.793739e+12	24250.62	74.46	61.11	7.51
Body251	Sun	9.5859e+27	1.930234e+08	1.492819e+12	1.911332e+12	14019.84	847.70	33.79	13.80
Body252	Sun	3.5318e+27	1.303367e+08	5.270889e+11	6.814235e+11	2965.56	328.58	17.60	18.98
Body253	Sun	3.2062e+27	1.249229e+08	8.259454e+11	1.219548e+12	6530.21	408.68	84.00	3.03
Body254	Sun	8.5412e+27	1.984848e+08	1.855283e+12	2.245861e+12	18539.05	706.82	19.57	22.04
Body255	Sun	4.0629e+27	1.208365e+08	1.779013e+12	2.608840e+12	20516.72	628.82	76.28	15.82
Body256	Sun	6.1870e+27	1.759038e+08	3.763961e+12	5.049087e+12	58400.84	193.34	12.24	22.19
Body257	Sun	4.2322e+27	1.268872e+08	1.644029e+12	2.143578e+12	16454.22	288.75	78.04	0.65
Body258	Sun	2.6635e+27	1.026184e+08	7.627298e+10	9.475895e+10	157.89	31.78	28.67	6.55
Body259	Sun	8.5183e+27	1.649129e+08	2.099743e+12	2.288563e+12	20519.90	451.11	23.63	28.26
Body260	Sun	1.2571e+27	8.179785e+07	3.453267e+12	4.450514e+12	49600.07	944.85	70.30	20.66
Body261	Sun	4.2138e+27	1.305374e+08	1.520326e+12	1.658773e+12	12652.78	707.66	85.23	14.48
Body262	Sun	1.1958e+27	1.176122e+08	2.560443e+12	2.637146e+12	26450.44	353.36	29.01	3.69
Body263	Sun	6.4692e+27	1.460301e+08	1.771438e+12	2.187074e+12	17580.37	621.80	81.07	12.82
Body264	Sun	2.6474e+27	1.006527e+08	5.243951e+11	6.401185e+11	2805.09	432.29	5.25	5.66
Body265	Sun	5.8507e+27	1.985088e+08	4.212249e+12	5.108325e+12	63517.57	570.43	55.51	9.98
Body266	Sun	2.4506e+27	1.024956e+08	4.182060e+12	5.897983e+12	71437.05	283.37	80.22	29.57
Body267	Sun	8.5919e+27	2.302223e+08	3.974513e+12	5.096488e+12	60983.56	357.91	23.66	22.71
Body268	Sun	5.7444e+27	1.758173e+08	4.653125e+12	5.606245e+12	73351.83	68.26	0.24	1.72
Body269	Sun	2.5052e+27	1.049289e+08	1.055546e+12	1.221694e+12	7670.85	428.01	33.06	18.07
Body270	Sun	8.7923e+26	1.063445e+08	4.597083e+12	4.754896e+12	63838.87	844.27	19.20	1.46
Body271	Sun	9.3397e+27	1.546371e+08	6.445233e+11	7.268822e+11	3584.91	566.05	35.82	22.90
Body272	Sun	6.4608e+27	1.356893e+08	2.183105e+11	2.278558e+11	665.23	494.28	3.43	8.26
Body273	Sun	6.8923e+27	2.025229e+08	5.485807e+12	6.343867e+12	90821.58	150.89	34.54	7.13
Body274	Sun	9.0814e+27	2.122391e+08	3.169255e+12	3.718304e+12	40348.55	826.23	6.83	3.04
Body275	Sun	4.7772e+27	1.501845e+08	4.819920e+12	6.847735e+12	88962.16	264.02	59.16	17.16
Body276	Sun	1.2897e+25	1.776067e+07	5.103303e+12	5.154555e+12	73335.60	109.82	77.64	23.90
Body277	Sun	2.1827e+27	9.444808e+07	2.882864e+12	3.670011e+12	37443.61	684.12	1.81	0.70
Body278	Sun	3.5062e+27	1.253594e+08	2.118336e+12	2.967113e+12	25599.05	546.05	65.57	8.72
Body279	Sun	7.8990e+27	1.571483e+08	1.216150e+12	1.685986e+12	11035.87	363.37	30.29	15.25
Body280	Sun	2.6509e+27	1.376504e+08	4.916088e+11	5.723931e+11	2449.87	702.43	59.18	21.70
Body281	Sun	6.8312e+27	2.171185e+08	4.436203e+12	4.853775e+12	63205.07	211.02	84.95	19.09
Body282	Sun	4.2081e+27	1.625400e+08	4.811182e+11	5.313753e+11	2274.15	802.86	62.50	15.54
Body283	Sun	3.8668e+27	1.508386e+08	4.121344e+12	5.683067e+12	68527.07	400.48	39.11	26.18
Body284	Sun	9.3967e+27	2.523383e+08	1.799066e+12	1.928795e+12	16066.44	807.84	65.76	2.17
Body285	Sun	1.6938e+27	1.090069e+08	8.460091e+11	1.112209e+12	6116.76	278.61	4.83	6.05
Body286	Sun	3.9917e+27	1.959537e+08	3.974178e+12	4.622627e+12	56264.64	624.21	31.55	27.15
Body287	Sun	4.2367e+27	1.887613e+08	2.494812e+12	2.608189e+12	25731.69	375.08	71.04	28.77
Body288	Sun	3.2457e+26	5.340785e+07	7.463206e+11	8.623070e+11	4554.21	482.65	4.90	15.59
Body289	Sun	9.2032e+27	1.665818e+08	1.079388e+11	1.378677e+11	272.03	149.88	69.57	29.74
Body290	Sun	4.2662e+27	1.244913e+08	2.678295e+12	3.865905e+12	37369.29	40.20	68.88	12.01
Body291	Sun	8.9263e+25	5.039601e+07	3.885751e+11	3.961225e+11	1551.61	100.65	1.31	18.59
Body292	Sun	5.0280e+27	1.566129e+08	5.239667e+12	5.986226e+12	83957.84	866.06	83.02	21.87
Body293	Sun	9.4165e+27	1.848170e+08	1.741012e+12	2.042704e+12	16428.87	166.98	49.89	15.88
Body294	Sun	1.6430e+27	1.027687e+08	5.225318e+12	6.650518e+12	91353.71	646.08	3.92	11.77
Body295	Sun	6.6529e+27	1.758638e+08	3.548349e+12	5.168325e+12	57445.51	225.99	22.93	10.90
Body296	Sun	8.7939e+27	1.508232e+08	3.884290e+12	4.466240e+12	53864.30	51.09	66.63	12.06
Body297	Sun	2.9417e+27	1.132286e+08	3.428640e+12	3.598891e+12	41584.74	189.76	47.37	28.27
Body298	Sun	8.9736e+27	2.314251e+08	3.966079e+12	4.652234e+12	56475.92	163.14	14.80	6.05
Body299	Sun	5.1963e+27	1.815187e+08	4.626494e+12	6.745980e+12	85607.60	78.78	34.10	21.38
Body300	Sun	5.6270e+27	1.566064e+08	4.713559e+12	6.211214e+12	80602.51	293.32	55.49	11.23
Body301	Sun	1.0176e+27	8.503348e+07	4.367508e+12	5.998508e+12	74498.53	619.25	85.26	9.54
Body302	Sun	1.5198e+27	1.378820e+08	6.331412e+11	9.034678e+11	4251.82	116.20	40.34	23.38
Body303	Sun	6.7463e+27	1.383641e+08	3.209961e+12	4.328406e+12	46200.41	337.68	76.09	19.56
Body304	Sun	2.5855e+27	1.189103e+08	3.690458e+12	5.137168e+12	58545.81	927.93	6.62	20.36
Body305	Sun	9.9603e+27	2.372666e+08	5.675484e+12	5.794349e+12	86709.27	761.90	13.92	25.26
Body306	Sun	3.5433e+27	1.681427e+08	5.358098e+12	6.400728e+12	90006.91	486.91	70.22	0.67
Body307	Sun	9.4117e+27	1.547207e+08	3.953514e+12	5.064856e+12	60453.57	753.58	13.58	12.17
Body308	Sun	9.6137e+27	2.574732e+08	5.041758e+12	5.624765e+12	77761.43	470.36	56.97	13.06
Body309	Sun	6.9347e+27	1.483604e+08	4.757878e+12	6.437571e+12	83616.54	951.48	77.44	26.83
Body310	Sun	3.4149e+27	1.516806e+08	4.975011e+12	5.610331e+12	76875.37	893.60	43.58	16.03
Body311	Sun	6.6745e+27	1.373368e+08	1.648606e+11	1.737153e+11	439.76	6.60	44.26	21.17
Body312	Sun	4.3490e+27	1.714583e+08	4.007881e+12	4.131301e+12	51832.37	722.96	58.85	3.77
Body313	Sun	2.2089e+27	1.231552e+08	2.079345e+12	2.957245e+12	25231.02	330.19	43.32	10.84
Body314	Sun	2.9167e+27	1.074170e+08	1.854791e+12	2.171002e+12	18030.47	651.67	39.51	1.40
Body315	Sun	2.4678e+27	1.187976e+08	5.033228e+12	5.468752e+12	75969.05	533.65	67.14	2.50
Body316	Sun	6.1128e+27	2.143066e+08	2.379513e+12	3.093885e+12	28583.50	905.60	14.71	20.68
Body317	Sun	2.9874e+26	5.186988e+07	2.618349e+12	3.065756e+12	30249.84	604.63	86.54	17.72
Body318	Sun	5.9911e+27	1.575886e+08	1.681778e+12	2.057315e+12	16139.10	216.85	1.97	14.03
Body319	Sun	4.6876e+27	1.519280e+08	9.512663e+11	1.121336e+12	6660.45	221.66	44.83	20.01
Body320	Sun	7.5447e+26	8.963576e+07	3.589092e+12	5.310439e+12	59262.59	103.63	2.62	24.64
Body321	Sun	2.4291e+27	1.216751e+08	2.269587e+11	2.472768e+11	728.99	915.14	70.34	8.46
Body322	Sun	4.1267e+27	1.333971e+08	1.778539e+12	2.025224e+12	16559.61	927.27	28.12	29.63
Body323	Sun	3.4034e+27	1.137638e+08	5.111440e+12	5.865445e+12	81179.91	652.42	55.72	25.12
Body324	Sun	1.8780e+26	4.170568e+07	3.220336e+12	4.619911e+12	49003.21	681.34	88.64	8.57
Body325	Sun	9.7836e+27	2.278329e+08	3.861830e+12	5.032409e+12	59209.73	422.70	20.19	21.09
Body326	Sun	2.8999e+27	1.271750e+08	4.260681e+12	4.628818e+12	59162.40	307.69	43.34	5.27
Body327	Sun	5.4120e+27	1.319797e+08	1.423067e+12	1.540770e+12	11389.67	594.51	12.59	1.87
Body328	Sun	9.7404e+27	2.084793e+08	2.225234e+11	3.198155e+11	891.53	280.29	46.93	16.76
Body329	Sun	1.1671e+27	7.765435e+07	1.084538e+12	1.103781e+12	7225.96	400.26	67.47	17.86
Body330	Sun	2.1372e+27	1.181666e+08	1.649812e+12	1.946254e+12	15221.99	326.68	58.63	17.19
Body331	Sun	9.1226e+27	1.775548e+08	5.438394e+11	5.604266e+11	2590.24	28.25	28.27	4.43
Body332	Sun	6.7216e+27	1.819918e+08	3.351010e+12	4.711577e+12	51102.43	895.43	34.80	8.04
Body333	Sun	4.1209e+27	1.376742e+08	1.559471e+12	1.851461e+12	14061.76	682.46	64.36	27.38
Body334	Sun	9.6675e+26	1.063541e+08	3.600703e+12	3.900732e+12	45861.31	497.38	58.73	19.53
Body335	Sun	4.5138e+27	1.251688e+08	4.731821e+12	5.386603e+12	71845.45	727.04	43.33	25.44
Body336	Sun	5.0896e+27	1.340780e+08	1.896472e+12	2.657384e+12	21691.96	217.60	88.81	28.64
Body337	Sun	4.6737e+27	1.272008e+08	4.161524e+12	5.258809e+12	64540.05	755.29	56.16	4.97
Body338	Sun	9.8650e+27	1.590308e+08	3.338538e+12	3.598067e+12	40780.29	518.95	65.17	22.31
Body339	Sun	1.9316e+27	1.241826e+08	3.378049e+12	3.410847e+12	39484.68	194.42	83.86	28.83
Body340	Sun	6.8011e+27	1.498953e+08	4.091699e+12	5.516402e+12	66479.28	999.21	34.01	1.56
Body341	Sun	5.2819e+27	1.269313e+08	3.768387e+12	4.632011e+12	54347.51	666.28	2.97	12.66
Body342	Sun	9.1501e+27	1.709805e+08	4.539184e+11	4.703434e+11	1983.46	237.58	72.17	29.12
Body343	Sun	2.9916e+27	1.085555e+08	3.323734e+12	4.559567e+12	49407.42	179.14	83.75	0.47
Body344	Sun	7.8326e+27	2.125189e+08	2.674491e+11	3.715927e+11	1140.31	941.66	87.73	12.32
Body345	Sun	8.5522e+26	7.867183e+07	4.961880e+12	6.460252e+12	86168.92	655.39	29.25	20.82
Body346	Sun	4.4903e+27	1.213589e+08	8.017610e+11	9.569202e+11	5206.08	482.80	5.81	20.09
Body347	Sun	2.9234e+27	1.289220e+08	4.750150e+12	6.811751e+12	87755.38	325.20	17.04	22.68
Body348	Sun	8.6591e+27	1.656022e+08	3.223487e+12	3.384402e+12	37916.13	491.17	42.83	27.46
Body349	Sun	9.4694e+26	7.433841e+07	5.230405e+12	6.212924e+12	86408.90	996.82	38.89	6.44
Body350	Sun	4.9162e+27	1.408404e+08	1.639147e+12	2.425934e+12	18295.05	614.81	76.04	16.79
Body351	Sun	6.8051e+27	1.736222e+08	1.185451e+12	1.279794e+12	8640.13	237.51	42.22	23.64
Body352	Sun	5.3708e+27	1.439442e+08	2.202591e+12	3.016499e+12	26614.73	255.44	54.32	22.91
Body353	Sun	3.4978e+27	1.177637e+08	1.844044e+12	2.504537e+12	20241.90	101.13	49.42	13.09
Body354	Sun	3.1732e+27	1.333310e+08	2.211877e+12	2.602140e+12	23577.15	849.60	36.14	20.40
Body355	Sun	4.1938e+27	1.250511e+08	1.591118e+11	2.216641e+11	524.49	885.71	68.33	13.11
Body356	Sun	3.9793e+27	1.608259e+08	3.856252e+12	4.238757e+12	51410.98	76.97	56.00	7.72
Body357	Sun	2.8120e+27	1.203128e+08	1.620932e+12	2.257966e+12	17052.68	782.84	43.53	19.56
Body358	Sun	8.0165e+26	6.747035e+07	1.633527e+12	1.719805e+12	13707.07	86.03	19.44	11.13
Body359	Sun	9.3088e+27	1.876192e+08	5.093789e+12	6.751361e+12	90999.87	999.12	3.96	3.94
Body360	Sun	8.4433e+27	1.510836e+08	3.662212e+12	5.053755e+12	57438.52	484.50	27.41	0.51
Body361	Sun	3.4598e+27	1.534577e+08	1.412243e+12	1.531456e+12	11273.79	193.78	31.33	13.01
Body362	Sun	6.1862e+27	1.377950e+08	1.924751e+12	2.778762e+12	22770.02	410.69	2.05	13.69
Body363	Sun	4.0621e+27	1.252554e+08	5.304559e+12	6.010601e+12	84961.26	961.38	17.90	26.08
Body364	Sun	6.9837e+27	1.740210e+08	7.376041e+11	1.065637e+12	5405.19	725.70	19.71	20.07
Body365	Sun	9.7236e+27	1.572625e+08	3.719276e+11	5.559232e+11	1995.02	140.25	28.99	26.63
Body366	Sun	8.0163e+27	2.092296e+08	5.296614e+11	7.497563e+11	3230.34	728.71	33.98	12.22
Body367	Sun	5.3228e+27	1.373066e+08	8.316955e+11	1.121568e+12	6093.56	228.87	38.83	14.30
Body368	Sun	9.9609e+27	1.705400e+08	9.893454e+10	1.061976e+11	207.39	109.52	1.25	10.41
Body369	Sun	9.3462e+27	1.829547e+08	3.628678e+12	3.747254e+12	44715.22	179.88	0.75	26.94
Body370	Sun	2.4818e+27	1.218208e+08	2.978484e+12	3.082224e+12	33305.43	507.00	64.41	15.29
Body371	Sun	4.3914e+27	1.219031e+08	2.823770e+12	3.880278e+12	38746.77	862.05	6.95	29.80
Body372	Sun	5.9693e+27	1.350403e+08	4.725025e+12	5.127309e+12	69030.11	789.53	19.21	23.49
Body373	Sun	1.5388e+27	9.405436e+07	2.726144e+12	4.057454e+12	39438.46	678.36	26.21	11.20
Body374	Sun	6.5000e+27	1.370154e+08	3.047488e+11	3.871939e+11	1284.80	130.31	24.49	0.23
Body375	Sun	6.1383e+27	1.657985e+08	4.075591e+12	4.572327e+12	56767.17	569.13	15.93	6.14
Body376	Sun	8.0797e+27	1.768583e+08	3.767607e+12	4.802385e+12	56001.61	847.52	15.93	5.65
Body377	Sun	5.4203e+27	1.360769e+08	3.225975e+12	4.028411e+12	43614.50	417.00	84.80	6.29
Body378	Sun	8.8245e+27	1.589050e+08	1.730558e+12	2.188158e+12	17315.93	91.62	54.74	5.90
Body379	Sun	3.9854e+27	1.740146e+08	1.243492e+12	1.266840e+12	8878.24	471.77	85.77	8.99
Body380	Sun	3.7558e+27	1.501643e+08	2.194078e+11	2.648661e+11	752.26	297.49	69.78	2.56
Body381	Sun	2.9233e+27	1.052876e+08	2.078581e+12	2.408944e+12	21219.74	217.84	6.27	24.46
Body382	Sun	2.5344e+27	1.062375e+08	4.888139e+12	5.093115e+12	70389.46	308.59	27.79	20.91
Body383	Sun	4.7050e+27	1.592763e+08	9.350786e+11	1.079678e+12	6383.57	276.15	29.02	5.31
Body384	Sun	3.1292e+27	1.766272e+08	2.408298e+12	3.488092e+12	31960.18	263.91	5.46	25.91
Body385	Sun	1.9557e+27	1.130576e+08	2.958594e+12	4.153030e+12	42333.39	224.07	52.63	17.97
Body386	Sun	1.8554e+27	9.194927e+07	4.959402e+12	5.848294e+12	79310.30	769.66	28.58	2.92
Body387	Sun	9.2005e+26	7.781307e+07	4.139243e+12	4.997019e+12	61642.86	112.45	15.83	0.39
Body388	Sun	1.4971e+27	9.348425e+07	4.330595e+12	4.965522e+12	63267.74	612.74	23.76	10.68
Body389	Sun	5.7787e+27	1.537598e+08	3.718044e+12	5.450715e+12	61972.04	124.63	64.59	4.77
Body390	Sun	5.5044e+27	1.340524e+08	4.887348e+12	6.721458e+12	88289.95	868.90	24.26	1.22
Body391	Sun	9.8861e+27	1.666594e+08	2.660675e+12	3.419345e+12	33464.74	89.47	41.20	29.33
Body392	Sun	7.3912e+27	1.926425e+08	9.673016e+11	1.042712e+12	6361.04	12.63	17.62	29.08
Body393	Sun	5.1964e+27	1.693095e+08	3.301717e+12	3.383843e+12	38586.61	748.01	12.81	24.22
Body394	Sun	2.1404e+27	1.296943e+08	6.670455e+11	9.195721e+11	4461.06	705.29	85.99	0.88
Body395	Sun	9.7376e+27	2.534175e+08	1.026957e+12	1.311132e+12	7980.34	605.80	3.81	18.64
Body396	Sun	1.1559e+27	8.835766e+07	2.490682e+12	3.382010e+12	31767.70	692.34	46.79	19.87
Body397	Sun	1.8158e+27	1.268882e+08	2.600578e+12	3.449553e+12	33218.27	965.10	26.35	19.04
Body398	Sun	4.3605e+27	1.396992e+08	3.177789e+12	3.663932e+12	39946.42	384.37	19.10	11.64
Body399	Sun	6.9358e+27	1.618789e+08	3.727077e+12	4.530399e+12	52966.45	968.91	66.44	11.93
Body400	Sun	3.6297e+27	1.569156e+08	3.918978e+12	4.656747e+12	56057.82	825.56	65.02	29.83
Body401	Sun	9.6062e+27	1.649951e+08	2.229739e+12	3.285354e+12	28910.73	500.47	67.49	14.50
Body402	Sun	2.1564e+27	1.386196e+08	1.150451e+12	1.608984e+12	10231.99	144.05	80.57	25.02
Body403	Sun	8.5047e+26	1.111178e+08	2.682086e+12	3.278623e+12	32484.54	128.34	84.36	8.30
Body404	Sun	5.0551e+27	1.292914e+08	9.138588e+11	1.284818e+12	7277.33	339.53	15.61	15.98
Body405	Sun	8.5986e+27	1.819551e+08	6.961402e+11	9.691940e+11	4797.14	841.19	5.65	24.79
Body406	Sun	6.3877e+27	1.615199e+08	2.351669e+12	2.770910e+12	25879.92	281.67	28.37	2.05
Body407	Sun	2.9024e+27	1.192503e+08	5.308772e+12	6.368058e+12	89067.11	412.09	86.82	10.02
Body408	Sun	7.4771e+27	1.675222e+08	4.267388e+12	4.492057e+12	57868.85	601.21	68.47	14.14
Body409	Sun	1.6261e+27	8.683197e+07	4.256602e+12	4.415118e+12	57001.69	86.13	66.77	10.66
Body410	Sun	3.5234e+27	1.278481e+08	5.508008e+12	6.164367e+12	89016.13	603.76	44.04	12.95
Body411	Sun	9.8456e+27	1.620193e+08	1.797781e+12	2.260275e+12	18247.65	894.46	5.05	12.20
Body412	Sun	4.0965e+27	1.380272e+08	2.377568e+12	2.381470e+12	23174.41	476.12	64.85	29.46
Body413	Sun	5.0672e+27	1.542649e+08	5.118633e+12	6.383498e+12	87075.79	441.73	36.20	0.75
Body414	Sun	9.2096e+27	1.665288e+08	7.846087e+11	1.069194e+12	5634.11	297.30	65.55	2.29
Body415	Sun	7.1357e+27	1.885798e+08	3.692265e+12	4.281190e+12	50257.37	851.29	54.28	21.86
Body416	Sun	8.6554e+27	1.759295e+08	3.038580e+12	3.271208e+12	35379.53	399.02	43.74	12.91
Body417	Sun	3.2284e+27	1.442063e+08	3.813564e+12	5.014188e+12	58547.06	372.62	15.75	6.29
Body418	Sun	8.1888e+27	1.707006e+08	1.025706e+11	1.182410e+11	231.61	488.75	39.54	5.42
Body419	Sun	9.0552e+27	1.962763e+08	4.640554e+12	5.651062e+12	73697.93	434.92	3.15	1.91
Body420	Sun	4.0333e+27	1.666560e+08	2.861646e+12	3.136446e+12	32790.62	955.51	29.90	22.66
Body421	Sun	3.6348e+27	1.340325e+08	1.494996e+12	1.778044e+12	13217.73	238.44	60.57	20.64
Body422	Sun	6.3200e+27	1.559532e+08	2.164815e+12	3.048619e+12	26571.49	266.30	30.17	22.86
Body423	Sun	8.4442e+27	2.054666e+08	4.086422e+12	4.931885e+12	60452.94	648.59	67.53	2.23
Body424	Sun	2.0073e+27	1.272402e+08	1.990907e+11	2.825100e+11	746.04	96.22	14.73	4.42
Body425	Sun	7.1985e+27	1.947824e+08	5.335595e+12	6.286485e+12	88441.42	412.09	50.19	26.15
Body426	Sun	8.0858e+27	2.286223e+08	2.850811e+12	3.793130e+12	38226.86	912.35	78.86	5.56
Body427	Sun	5.4405e+27	1.310951e+08	1.418366e+12	1.909373e+12	13550.45	259.35	87.97	22.56
Body428	Sun	7.4144e+27	1.432095e+08	3.407619e+11	4.836463e+11	1670.87	485.76	71.72	0.19
Body429	Sun	2.1441e+27	1.173815e+08	2.051117e+12	2.060282e+12	18608.63	21.10	48.45	5.15
Body430	Sun	4.2413e+27	1.566173e+08	1.081228e+12	1.267375e+12	8034.23	497.60	49.79	25.16
Body431	Sun	7.0323e+24	1.906588e+07	8.174064e+11	9.896374e+11	5422.29	500.03	71.83	14.35
Body432	Sun	7.8185e+27	1.491983e+08	2.946593e+12	3.205970e+12	34065.44	736.65	55.88	24.90
Body433	Sun	9.8841e+26	8.610382e+07	3.377581e+12	3.782884e+12	42770.25	569.01	14.97	29.56
Body434	Sun	1.6840e+27	1.361589e+08	4.505065e+11	6.385146e+11	2536.79	262.70	36.03	11.72
Body435	Sun	4.4429e+27	1.457794e+08	4.995401e+12	5.353541e+12	74314.55	148.54	82.47	10.02
Body436	Sun	1.6015e+27	1.064374e+08	6.608953e+11	9.130089e+11	4407.55	974.47	47.13	6.16
Body437	Sun	7.2170e+27	1.976286e+08	7.782843e+11	7.798163e+11	4341.33	195.85	32.79	22.10
Body438	Sun	2.2397e+27	9.884069e+07	3.517162e+12	5.214009e+12	57588.89	911.89	40.50	29.44
Body439	Sun	1.5877e+27	1.159356e+08	7.662523e+11	9.551549e+11	5041.45	812.64	62.59	28.42
Body440	Sun	9.3975e+27	1.650881e+08	3.913006e+12	4.202226e+12	51603.76	774.07	75.28	6.77
Body441	Sun	2.3538e+27	1.008507e+08	4.137844e+12	4.895141e+12	60600.58	771.75	85.06	22.32
Body442	Sun	9.5398e+27	1.558636e+08	4.774003e+11	5.803507e+11	2428.32	652.67	21.12	29.00
Body443	Sun	2.7088e+27	1.510099e+08	2.698268e+12	3.024515e+12	30559.12	611.25	70.14	20.34
Body444	Sun	8.2962e+27	1.711308e+08	3.628707e+12	4.421053e+12	50980.52	229.36	47.31	27.68
Body445	Sun	5.1694e+27	1.759025e+08	1.753419e+12	2.167482e+12	17330.41	912.01	88.32	2.80
Body446	Sun	1.3602e+27	9.503598e+07	2.133175e+12	3.138432e+12	27017.46	262.09	13.01	7.41
Body447	Sun	9.1256e+27	1.632835e+08	1.807461e+12	2.276414e+12	18422.08	691.10	71.11	2.08
Body448	Sun	1.5687e+27	9.187382e+07	3.538724e+12	5.068034e+12	56362.38	901.29	67.47	16.85
Body449	Sun	7.7169e+27	1.705575e+08	4.164680e+11	5.429187e+11	2097.59	149.54	55.86	24.67
Body450	Sun	8.8244e+27	1.764308e+08	1.071486e+12	1.082742e+12	7057.77	22.79	77.47	21.12
Body451	Sun	9.0393e+27	1.711266e+08	2.149734e+12	3.177765e+12	27448.27	782.39	24.25	27.70
Body452	Sun	2.9410e+27	1.364719e+08	4.473647e+12	4.754026e+12	62570.29	609.25	79.95	25.34
Body453	Sun	6.2841e+27	1.959667e+08	4.617639e+12	4.814729e+12	64663.77	376.17	69.96	5.50
Body454	Sun	9.9260e+27	1.788292e+08	1.573039e+12	1.974816e+12	14916.90	13.42	77.13	14.48
Body455	Sun	2.5872e+27	1.402951e+08	3.457652e+12	4.571806e+12	50787.79	261.58	88.38	0.98
Body456	Sun	8.2405e+27	1.524433e+08	5.102533e+12	6.505318e+12	88279.06	462.21	0.32	6.86
Body457	Sun	2.5804e+27	1.131526e+08	1.610001e+12	1.940106e+12	14931.11	199.03	65.79	7.35
Body458	Sun	2.0933e+27	1.126686e+08	3.097578e+12	4.294362e+12	44860.86	668.07	40.23	4.69
Body459	Sun	3.3446e+27	1.177706e+08	7.761920e+11	1.159333e+12	6010.74	639.65	9.56	1.68
Body460	Sun	8.1845e+27	1.614595e+08	4.875413e+12	6.838188e+12	89488.15	629.10	36.27	24.38
Body461	Sun	7.4782e+27	1.483548e+08	3.252786e+12	3.547383e+12	39583.07	186.65	6.92	25.55
Body462	Sun	4.3566e+27	1.296837e+08	5.277829e+12	5.463049e+12	78575.94	223.95	30.29	21.51
Body463	Sun	3.0186e+27	1.093779e+08	5.254204e+12	5.661383e+12	80500.86	184.17	74.44	24.59
Body464	Sun	4.4256e+27	1.522952e+08	3.827721e+11	4.885835e+11	1815.61	490.76	69.41	6.78
Body465	Sun	3.0272e+27	1.170711e+08	8.431206e+11	1.050867e+12	5818.29	901.82	73.75	7.77
Body466	Sun	5.3771e+27	1.422403e+08	1.750594e+12	2.356160e+12	18577.10	778.42	89.06	19.11
Body467	Sun	5.7398e+27	1.447700e+08	4.617832e+12	5.234174e+12	69026.67	12.68	67.67	14.86
Body468	Sun	6.0891e+27	1.719472e+08	1.153652e+12	1.312704e+12	8645.97	637.10	78.85	12.40
Body469	Sun	2.5655e+27	1.093494e+08	1.570905e+12	2.347617e+12	17314.63	472.17	34.15	12.77
Body470	Sun	4.8488e+27	1.434090e+08	2.789338e+12	3.756314e+12	37381.72	574.01	20.56	21.35
Body471	Sun	7.6919e+27	1.745765e+08	2.666074e+12	3.696229e+12	35822.14	592.14	72.71	10.61
Body472	Sun	6.0683e+27	1.541575e+08	2.737783e+12	2.924790e+12	30078.12	558.39	37.19	11.54
Body473	Sun	1.9220e+27	1.223802e+08	7.574190e+11	8.550201e+11	4570.41	383.58	6.01	22.54
Body474	Sun	9.4472e+27	1.865432e+08	2.778964e+11	2.864226e+11	946.27	957.85	31.85	17.10
Body475	Sun	7.2090e+27	2.220768e+08	1.341950e+12	1.595420e+12	11237.45	853.76	60.10	29.71
Body476	Sun	2.7511e+26	4.721892e+07	5.105080e+12	5.778029e+12	80141.85	749.30	74.99	2.38
Body477	Sun	6.9019e+27	1.895283e+08	1.363528e+11	1.559888e+11	352.83	158.29	69.27	24.31
Body478	Sun	8.5532e+27	2.360656e+08	3.152965e+12	4.216344e+12	44654.99	647.22	12.68	16.39
Body479	Sun	9.3200e+27	1.548702e+08	3.255026e+12	4.265535e+12	46036.81	704.02	75.98	24.84
Body480	Sun	1.6868e+26	4.116884e+07	6.129377e+11	7.216803e+11	3441.64	878.12	65.84	2.73
Body481	Sun	5.0784e+27	1.402438e+08	1.310607e+12	1.360695e+12	9745.73	786.04	60.01	26.72
Body482	Sun	4.3242e+27	1.350692e+08	7.864024e+11	8.733165e+11	4772.89	564.98	49.49	17.30
Body483	Sun	9.9408e+27	2.059800e+08	3.448808e+12	3.868690e+12	44184.89	172.24	80.98	14.90
Body484	Sun	3.3563e+27	1.366918e+08	1.300725e+12	1.702257e+12	11616.07	762.29	24.26	23.77
Body485	Sun	2.8793e+27	1.074770e+08	3.011082e+12	3.470080e+12	36830.64	883.95	17.28	9.40
Body486	Sun	1.0315e+27	8.494575e+07	2.196387e+12	2.734310e+12	24439.50	500.12	75.50	22.57
